"Win","Date","Team","Opponent","ScoreOff","ScoreDef","Home"
1,2017-08-31,"Cincinnati (OH)","Austin Peay St. (TN)",26,14,1
0,2017-09-09,"Cincinnati (OH)","Michigan",14,36,0
1,2017-09-16,"Cincinnati (OH)","Miami (OH)",21,17,0
0,2017-09-23,"Cincinnati (OH)","Navy (MD)",32,42,0
0,2017-09-30,"Cincinnati (OH)","Marshall (WV)",21,38,1
0,2017-10-07,"Cincinnati (OH)","Central Florida",23,51,1
0,2017-10-14,"Cincinnati (OH)","South Florida",3,33,0
0,2017-10-21,"Cincinnati (OH)","Southern Methodist (TX)",28,31,1
1,2017-11-04,"Cincinnati (OH)","Tulane (LA)",17,16,0
0,2017-11-10,"Cincinnati (OH)","Temple (PA)",24,35,1
0,2017-11-18,"Cincinnati (OH)","East Carolina (NC)",20,48,0
1,2017-11-25,"Cincinnati (OH)","Connecticut",22,21,1
1,2017-09-09,"Houston (TX)","Arizona",19,16,0
1,2017-09-16,"Houston (TX)","Rice (TX)",38,3,1
0,2017-09-23,"Houston (TX)","Texas Tech",24,27,1
1,2017-09-30,"Houston (TX)","Temple (PA)",20,13,0
1,2017-10-07,"Houston (TX)","Southern Methodist (TX)",35,22,1
0,2017-10-14,"Houston (TX)","Tulsa (OK)",17,45,0
0,2017-10-19,"Houston (TX)","Memphis (TN)",38,42,1
1,2017-10-28,"Houston (TX)","South Florida",28,24,0
1,2017-11-04,"Houston (TX)","East Carolina (NC)",52,27,1
0,2017-11-18,"Houston (TX)","Tulane (LA)",17,20,0
1,2017-11-24,"Houston (TX)","Navy (MD)",24,14,1
0,2017-12-24,"Houston (TX)","Fresno St. (CA)",27,33,1
1,2017-08-31,"Connecticut","Holy Cross (MA)",27,20,1
0,2017-09-16,"Connecticut","Virginia",18,38,0
0,2017-09-24,"Connecticut","East Carolina (NC)",38,41,1
0,2017-09-30,"Connecticut","Southern Methodist (TX)",28,49,0
0,2017-10-06,"Connecticut","Memphis (TN)",31,70,1
1,2017-10-14,"Connecticut","Temple (PA)",28,24,0
